Gene_name,Pathway,E18_Vs_LU3,E18_Vs_LU4,LI1_Vs_LU3,LI1_Vs_LU4,LI2_Vs_LU3,LI2_Vs_LU4,LI3_Vs_LU3,LI3_Vs_LU4,cLTMR1,cLTMR2,NF1,NF2,NF3,NP,PEP1,PEP2,SST,Z.2days,Z.4days,Z.7days,Z.12days,NRGcs_2d,T5RGCs_2d,TRGCs_2d,Cartpt_2d,Alpha_RGCS_7D,Cartpt_RGCS_7D,F_RGCS_7d,T_RGCS_7d,ipRGCs_7D,T5_RGCS_7d
Chl1,axon development,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
Chl1,generation of neurons,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
Chl1,neuron projection development,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
Chl1,axonogenesis,2.33356981,2.212457665,0,0,0,0,0,0,1.408878162,1.749384632,1.330428075,2.113034916,1.614840424,2.753644696,1.146427215,3.030313988,1.398050151,,,,,0,0,0,0,0,0,0,0,0,0
Cntn2,neurogenesis,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,axonogenesis,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,nervous system development,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,neuron development,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,neuron differentiation,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,axon development,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,generation of neurons,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,central nervous system neuron differentiation,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Cntn2,neuron projection development,1.723408132,1.777659091,0,0,0,0,0,0,0.342359356,0.907055386,-0.173411575,-0.048190102,-0.37635624,0.77609248,0.675960513,0.556483239,0.744878938,0.015280519,0.733067848,1.819345027,1.713832915,0,0,0,0,0,0,0,0,0,0
Dcc,neurogenesis,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,axonogenesis,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,nervous system development,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,central nervous system neuron differentiation,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,neuron development,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,neuron differentiation,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,generation of neurons,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,neuron projection development,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcc,axon development,5.554334877,5.658675636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcx,nervous system development,1.695926658,1.595208294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dcx,axonogenesis,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
Dcx,generation of neurons,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
Dcx,axon development,1.695926658,1.595208294,0,0,0,0,0,0,0,0.453852996,0,0,0,-0.150816075,-0.308078575,-0.201081668,-0.240543682,,,,,0,0,0,0,0,0,0,0,0,0
